,Job_Seeker_ID,Num_13,Den_13,Site_Name,Contract_ID,specialist_site_type_code
0,1834534409,0,1,AimBig Employment THE ENTRANCE,0212812K,AALL
0,9970959409,0,0,Aimbig Employment LAUNCESTON,0212893F,AALL
0,1077841409,0,8,AimBig Employment THE ENTRANCE,0212812K,AALL
0,3973285009,0,0,AimBig Employment CHERMSIDE,0212795D,AALL
0,2044486809,0,2,AimBig Employment MOONEE PONDS,0212886G,AALL
0,1836634109,0,5,AimBig Employment ETTALONG BEACH,0212812K,AALL
0,9711662409,0,0,AimBig Employment LIVERPOOL,0212901A,AALL
0,785990,0,2,AimBig Employment BROADMEADOW,0212815C,AALL
0,7257571109,0,6,AimBig Employment KANWAL,0212881B,AALL
0,993650,0,5,AimBig Employment GOSFORD,0212881B,AALL
0,4871130119,0,2,AimBig Employment MAITLAND,0212813A,AALL
0,1969380004,0,3,AimBig Employment NORTH LAKES,0212795D,AALL
0,8174141009,0,5,AimBig Employment HEIDELBERG,0212820K,MENH
0,4705419609,0,1,AimBig Employment TAMWORTH,0212883D,(blank)
0,9298854609,0,0,AimBig Employment LIVERPOOL,0212901A,AALL
0,8767862019,0,2,AimBig Employment BROADMEADOWS,0212817E,AALL
0,9305818709,0,1,AimBig Employment WERRIBEE,0212822B,MENH
0,7619697909,0,2,AimBig Employment TAYLORS LAKES,0212822B,MENH
0,2387660,0,0,AimBig Employment MILE END,0212791K,MENH
0,6023022609,0,1,AimBig Employment HYDE PARK,0212804K,MENH
0,3605989509,0,4,AimBig Employment MIRANDA,0212904D,AALL
0,1992466003,0,2,AimBig Employment WOY WOY,0212812K,AALL
0,5244584709,0,6,AimBig Employment BANKSTOWN,0212840D,MUSK
0,3512355119,0,2,AimBig Employment LEICHHARDT,0212845J,AALL
0,2689362709,0,5,AimBig Employment TOOWONG,0212879H,AALL
0,2381360,0,2,AimBig Employment WYONG,0212812K,AALL
0,3754015109,0,3,AimBig Employment GLENORCHY,0212892E,(blank)
0,1108433019,0,1,AimBig Employment TOOWONG,0212879H,AALL
0,6909968309,0,0,AimBig Employment MOONEE PONDS,0212886G,AALL
0,5218242004,0,7,AimBig Employment MITCHELTON,0212879H,AALL
0,442793109,0,5,AimBig Employment TOOWONG,0212879H,AALL
0,5731309509,0,0,AimBig Employment CABRAMATTA,0212844H,AALL
0,4936068909,0,0,AimBig Employment NORTH LAKES,0212795D,AALL
0,8875137009,0,2,AimBig Employment BROOKVALE,0212851G,(blank)
0,408591809,0,0,AimBig Employment WOLLONGONG,0212857B,MUSK
0,1771355909,0,8,AimBig Employment CAMPSIE,0212839K,MENH
0,1181202007,0,8,AimBig Employment CAMPSIE,0212839K,MENH
0,5598607409,0,0,AimBig Employment FRANKSTON,0212818F,MENH
0,8748050709,0,2,AimBig Employment HURSTVILLE,0212855K,AALL
0,618558209,0,1,AimBig Employment BANKSTOWN,0212840D,MUSK
0,5261520001,0,1,AimBig Employment UPPER MOUNT GRAVATT,0212796E,(blank)
0,4019304019,0,1,AimBig Employment AUBURN,0212898K,AALL
0,2035704019,0,2,Aimbig Employment LAUNCESTON,0212865B,(blank)
0,2947878909,0,3,AimBig Employment TIWI,0212891D,AALL
0,3016093019,0,5,AimBig Employment DALBY,0212897K,AALL
0,9204734019,0,2,AimBig Employment BROADMEADOWS,0212817E,AALL
